id,filename,course,cluster,core_claim,mechanism,researchers,named_frameworks,principles_tagged,size_bytes
D001,D001.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,"המטרה המיידית של הטיפול בטראומה אינה הפחתת PTSD, אלא החזרת האדם לתפקוד מועיל ומיטיב דרך הפעלה יעילה.",הפעלת הנפגע באופן יעיל בהקשר האירוע; תפיסת משימות קטנות כהצלחות; הפעלת PFC דרך שאלות קוגניטיביות.,פרחי,מעשה|יהלום|HPA|ASR,P01|P02|P04|P05|P10,0
D002,D002.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,זיכרון טראומטי תלוי במצב סימפתטי; תפקוד יעיל דורש סידור זיכרון תוך 6-7 שעות.,קורטיזול מחדד חושים; היעדר נקודת סיום מייצר רפיטיציה; חלון זמנים קריטי לשינוי אחסון.,פרחי|אנטונובסקי,ASR|PTSD|PFC,P05,0
D003,D003.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,[META],[META],,ASR|HRV|PTSD,P01|P10,0
D004,D004.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,[META],[META],,PFA,,0
D005,D005.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,[META],[META],,,,0
D006,D006.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,"מודל שש-הסי יעיל בהפחתת ASR מעבר לתחקיר פסיכולוגי, בעיקר בהקשרים קשים כמהגרים.","שלוש אלמנטים: תקשורת קוגניטיבית, שליטה בחירה, אתגר משימות קטנות; שימור היררכיה.",פרחי|אנטונובסקי,6-C|מעשה|PFA,P04,0
D007,D007.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,[META],[META],,,,0
D008,D008.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,[META],[META],,,,0
D009,D009.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,[META],[META],,,,0
D010,D010.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,דיסוציאציה חלקית עם PFC דומיננטיות היא מצב הרצוי לשמר יכולת פעילה של המסייע.,שמירה על PFC דרך תקשורת קוגניטיבית; הימנעות מנרמליזציה רגשית; התערבות בחירום אך לא בתוך פעולה רפואית.,פרחי,ASR|PFC|HRV|מעשה,P04|P06|P07|P11,0
D011,D011.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,פסיביות מאיצה דומיננטיות אמיגדלה; טיפול דורש העברת פעילות קוגניטיבית ובחירה.,שאלות קוגניטיביות המעודדות בחירה; תרגום גרייה לחושים שונים.,פרחי,ASR|PFC,P01|P06,0
D012,D012.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,מודל מעשה משלב סגירת אירוע דרך שחזור כרונולוגי המייצר מסוגלות להמשך.,30-45 דקות; שחזור אירועים; זיהוי נקודות הצלחה; יצירת מחויבות.,פרחי,מעשה|6-C,P01|P02|P05|P06,0
D013,D013.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,איום וחוסר אונים יוצרים טראומה; פעילות יעילה משבר את המעגל.,טראומה = איום + חוסר אונים + פחד; מחזור שבירה דרך פעילות יעילה.,פרחי,ASR|HPA,P02,0
D014,D014.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,קורטיזול מחדד חושים אך מקשה על סדר; מחשבות טורדניות מהיעדר סיום קונקרטי.,קורטיזול מכפיל מידע; צפירת נקודת סיום; עקומת ביצוע הפוכה.,פרחי,HPA|PFC,,0
D015,D015.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,"מודל ששת הסי מחזק עמידות דרך שליטה, מחויבות ואתגר; מעשה הוא גרסה מקוצרת.","6 אלמנטים: שליטה, מחויבות, אתגר, קוהרנטיות, חוסן, קהילה.",פרחי|קבסה|אנטונובסקי,6-C|מעשה|COR,P01|P04|P05|P06|P07|P11,0
D016,D016.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,דיבור ממוקד רגש בטראומה מחריף ASR; תקשורת קוגניטיבית משמרת PFC.,נורמליזציה רגשית מפעילה אמיגדלה; תקשורת קוגניטיבית מונוטונית משמרת שיח מידע.,פרחי|אורטל,ASR|PFC,,0
