id,name_he,name_en,definition_he,research_backbone,sources,frequency,module_relevance,claim_template,market_stance,ops_signal,competitor_scan_keywords,defense_pattern
P01,פעולה מפחיתה חוסר-אונים,Action Defeats Helplessness,"במצבי דחק, פסיביות מגבירה דומיננטיות של האמיגדלה ומעמיקה תחושת חוסר-אונים. משימות קצרות, מדידות, וברות-השגה מחזירות PFC ותחושת מסוגלות.",פרחי|Bandura (self-efficacy),D001|D003|D011|D012|D015|D017|D025,7,sales|retention|pricing,"כש-{user_state} נכנס ל-{stress_context}, {generic_support} מעמיק את ה-{drop_signal}. {our_design} נותן {short_task_type} עם {success_marker} בתוך {timeframe}, מחזיר {recovery_metric}.","אנחנו היחידים שמתכננים UX לפי עקרון שפעילות מועילה יותר מרגיעה. בעוד מתחרים מוסיפים חלונות 'תשומת לב ורוגע', אנחנו שולחים את המשתמש למשימה קצרה שנגמרת בהצלחה.",onboarding שמכיל משימה מוגדרת עם סגירה תוך 10 דקות|no 'breathe/pause' popups בתוך workflow|dashboards שמראים progression שלב|שליחת action-first בכל notification מקוטבת,take a breath|calm mode|mindfulness integration|step back|pause feature,"אם מתחרה יטען 'אנחנו גם דואגים לרווחה', הציטוט מ-Bandura: self-efficacy נבנית דרך mastery experiences, לא דרך reassurance. פסיביות בתוך חווית UX מגבירה helplessness מוכח מחקרית."
P02,איום + חוסר-אונים = טראומה,Threat+Helplessness = Trauma,טראומה איננה רק איום ואיננה רק חוסר אונים. היא צירוף. שבירת אחד משני המרכיבים מונעת היווצרות טראומה.,DSM|פרחי,D001|D012|D013|D017|D021|D036,6,differentiation|sales|retention,מתחרים מתמקדים בהסרת {threat_source}. אנחנו מתמקדים בהסרת {helplessness_source}. התוצאה: {user_segment} יכול לתפקד {even_under_threat_condition}.,"תפעול תחת אי-ודאות הוא לא בעיה של איום, הוא בעיה של חוסר-אונים. חברות שמרגישות 'תקועות' לא פוחדות ממה שקורה בשוק, הן לא יודעות מה לעשות. הפתרון הוא efficacy, לא security.",lost agency signals in current tooling|decision-paralysis reported|leadership describes 'fog' or 'stuck'|client buys reassurance from consultants but not action,certainty|predictability|forecast accuracy|visibility|insights dashboard,"הפרדה מושגית: certainty ≠ agency. אפשר להיות בטוח שמצב רע קורה, וזה לא ישפר מצב. הטיעון חסין כי הוא מבוסס על פירוק DSM של טראומה לשני גורמים מוכחים, לא על אינטואיציה שיווקית."
P03,שימור משאבים כמנוע התנהגות,Resource Conservation Drives Behavior (COR),"אנשים וארגונים פועלים מתוך דחף לשמר משאבים. הפסד כואב פי 2.5 מרווח מקביל. התנהגות נובעת מהגנה על מה שכבר יש, לא מהוספה.",Hobfoll (COR)|Kahneman & Tversky (Prospect Theory),D020|D025|D028|D031|D041,5,pricing|retention|marketing|sales,"ה-ICP שלך לא קונה כי {feature_list}. הוא קונה כי {current_resource_at_risk} מוגן על ידך. כל messaging מנוסח כ-{loss_framing}, לא כ-{gain_framing}.","SaaS שמדבר על ROI מאבד ICP שעוד לא ראה ROI. SaaS שמדבר על שימור ההשקעה הקיימת (זמן צוות, דאטה, לקוחות קיימים) זוכה ב-ICP ברובו המוחלט של השוק.","customer uses 'חוסכים לנו X', 'מגן על Y'|onboarding מדגיש transition-safety, לא new-capability|pricing page בראש העמוד מדבר על הפסד נוכחי, לא רווח עתידי|churn reasons = 'אי-שימוש של מה שכבר יש', לא 'חסר לנו פיצ'ר'",grow your revenue|unlock|boost|accelerate|increase,"Hobfoll COR (2001) + Kahneman Loss Aversion (1979). אלו תיאוריות מאומתות ב-40 שנות מחקר, 100+ ניסויים חזרים. לא טענה שיווקית, מנגנון נוירו-קוגניטיבי מדיד."
P04,התערבות ספציפית-פאזה,Phase-Specific Intervention,"משבר מחולק לשלבים ברורים: חריף, ביניים, ארוך-טווח. כל שלב מחייב פרוטוקול שונה. התערבות גנרית (אותו action בכל שלב) מזיקה.","Lahad (BASIC-PH)|פרחי (6-C)|מעש""ה|יהל""ם",D001|D006|D010|D015|D025,5,retention|sales|marketing,Onboarding לא אחיד. משתמש ב-{phase_identifier} מקבל {phase_specific_flow}. המעבר בין פאזות מזוהה דרך {detection_signal}.,"כולם מדברים על personalization. אנחנו היחידים שמפצלים onboarding לפי מצב המשתמש, לא לפי הרמת פרופיל. מישהו ב-crisis acute onboarding צריך חוויה אחרת ממישהו שעובר lateral move מ-tool אחר.",phase-detection quiz in first 2 minutes|different UI state for acute-stress users|no single 'standard onboarding sequence'|churn differs by entry phase,personalized onboarding|role-based onboarding|use case selection|tailored experience,"ההבדל בין personalization ל-phase-specific intervention הוא ההבדל בין UI state machine ל-clinical protocol. Lahad BASIC-PH ו-6-C של פרחי הם מסגרות קליניות מאומתות עם נתוני שטח (ישראל, פליטים, אסונות). לא UX flavoring, protocol-grade."
P05,סגירת אירוע מונעת חודרנות,Event Closure Prevents Intrusion,"אירוע ללא נקודת סיום ברורה מייצר חזרתיות. קורטיזול/מצב סימפתטי דורשים closure מפורש תוך חלון של 6-7 שעות, אחרת הזיכרון מתקבע כטראומטי.",פרחי|מחקרי consolidation זיכרון,D001|D002|D012|D015,4,retention|sales|marketing,"כל {interaction_type} ב-{session_count} הראשונים חייב לכלול {closure_mechanism} תוך {time_window}. בלי זה, ה-{user_metric} הופך חזרתי ומייצר {drop_pattern}.",SaaS רגיל משאיר flows פתוחים. אנחנו סוגרים כל אינטראקציה ב-{explicit_closing} תוך 6-7 דקות מתחילתה. זה מונע 'rumination loops' שמרחיקים משתמשים.,every workflow ends with explicit summary|'Complete/Done' language throughout|6-7 minute session rhythm|post-action confirmation UI,seamless|continuous|always-on|background sync,"Memory consolidation של Ribot + נתוני פרחי על חלון 6-7 שעות. ללא closure, pattern הופך חזרתי — זה מנגנון פיזיולוגי, לא UX נוחות."
P06,תקשורת קוגניטיבית משמרת PFC,Cognitive Communication Protects PFC,"בזמן דחק, נורמליזציה רגשית ('זה קורה לכולם', 'זה בסדר') מפעילה את האמיגדלה ומורידה PFC. שאלות קוגניטיביות ממוקדות פותחות את ה-PFC ומחזירות יכולת החלטה.",פרחי|neuroscience of PFC-amygdala,D010|D011|D012|D015|D017,5,sales|retention|marketing,"כשמשתמש ב-{frustration_state}, UI מחזיר {cognitive_question}, לא {empathy_statement}. זה נגד האינטואיציה של UX רגיל.",Empathy ב-UI הוא consensus. אנחנו הפוך — שואלים את המשתמש שאלה ממוקדת גם במצב frustration. זה מחזיר agency מיידית.,error states ask 'which of these happened' instead of 'we're sorry'|support chat opens with cognitive question not acknowledgment|no 'we understand this is frustrating' language|metrics: time-to-resolution after error < industry average,we understand|we're sorry|that must be frustrating|we hear you,"Amygdala activation by emotional normalization הוא ממצא מאומת ב-fMRI studies (Hariri et al., Lieberman). PFC engagement דרך cognitive labeling/questions הוא counter-intuitive אבל מוכח. המתחרה שמגן על empathy-language נופל מול ה-data."
P07,דיסוציאציה חלקית כמצב פונקציונלי,Partial Dissociation as Optimal Helper State,דיסוציאציה מלאה = דיספונקציה. דיסוציאציה חלקית עם PFC דומיננטי = מצב עבודה אופטימלי תחת לחץ. מערכות תמיכה צריכות ללמד מסייעים להישאר שם.,פרחי,D010|D015|D017,3,retention|sales,"נציגי תמיכה/צוות מכירות עובדים תחת stress. לא נלמד אותם לנשום עמוק. נלמד אותם לשמור על {cognitive_marker} תוך {dissociation_indicator}, עם {prevention_of_triggers}.","מערכת L&D סטנדרטית מלמדת 'self-care'. אנחנו מלמדים שימור partial dissociation — מצב שבו emotion מופחת מכוון, PFC דומיננטי, והעובד פועל יעיל גם תחת שיחת לקוח קשה.","agents trained to use cognitive rephrasing not emotional response|post-shift debriefing uses structured questions not 'how did it feel'|burnout metrics tracked via HRV-proxy, not self-report",wellness program|employee assistance|self-care training|mindfulness at work,"Functional dissociation הוא מושג קליני מאומת. הוא שונה מ-detachment (שלילי) כי הוא מכוון, זמני, ומאפשר performance. המתחרה שימכור 'empathetic support' יחשף כאדישות לפגיעה הפיזיולוגית של המסייע."
P08,"חוסן = משאבים × התאמה × יעילות (יע""ה)",Resilience Triad (Resources × Adaptation × Efficiency),כמות משאבים לבדה איננה חוסן. חוסן הוא מכפלה: משאבים × התאמה למצב × יעילות שימוש. שלוש אקסיות בלתי-תלויות.,פרחי|Hobfoll (COR)|Kobasa (Hardiness),D020|D025,2,differentiation|retention,"ה-benchmark של {resource_metric} לא מספיק. אנחנו מודדים {fit_metric} ו-{efficiency_metric}. הלקוח שלך מקבל triad, לא scalar.","Dashboards מראים 'יש לך 100K leads'. זה scalar. אנחנו מראים quality×fit×efficiency. Competitor יטען 'יש לנו גם סינון', אנחנו נענה 'זה עדיין scalar בסינון אחד'.","metrics come in triplets, not singles|'quality-adjusted' phrasing everywhere|no raw volume KPIs on main dashboard|scoring models multiplicative not additive",more leads|unlimited|scale|volume,"יע""ה של פרחי + עבודת Hobfoll על fit-of-resource-to-demand. המתחרה שיטען 'כמות היא הכל' יתקל ב-30 שנות מחקר organizational resilience שמוכיחים את ההפך."
P09,רציפות כצורך יסודי,Continuity as Core Psychological Need,"פרט וקהילה נשברים כאשר נקטעת אחת מ-4 הרציפויות: קוגניטיבית, תפקיד/תפקוד, חברתית, היסטורית. התערבות = שחזור רציפות.",Omer & Alon (1994)|בן חורין (2023),D025,1,retention|marketing|differentiation,{ICP_transition_event} שובר {continuity_type}. אנחנו משחזרים אותו דרך {continuity_restoration_mechanism}. זה ה-reason to stay.,"מעברים (שינוי CRM, החלפת מנכ""ל, מיזוג) נראים אצל כולם כ'שינוי'. אצלנו הם קטיעות רציפות זוהות וניתנות לשיקום. 4 תחומים, כל אחד עם פרוטוקול.",product has 'bridge mode' for transitions|historical data visible from day 1|role continuity supported even during reorg|no 'fresh start' UX that erases history,fresh start|clean slate|start over|new beginning,"עיקרון הרציפות של עומר ואלון הוא מסגרת קלינית מאומתת ב-30 שנות עבודה עם פונים בישראל, כולל פליטים ועולים. זה לא מטאפורה, זה מבנה צרכים מזוהה."
P10,שמירת היררכיה בחירום,Hierarchy Preservation in Crisis,"בחירום, התערבות ישירה של גורם חיצוני בלקוח פוגעת בסיכויי ההחלמה. הגורם החיצוני מדריך את המנהיגות המקומית, שמבצעת. שמירת היררכיה = שימור עצמאות.",פרחי|בן חורין|מחקרי community resilience,D001|D003|D025,3,sales|retention|marketing,"אנחנו לא מתערבים ישירות אצל {end_user}. אנחנו מעצימים את {local_leader} דרך {enablement_mechanism}, והוא מעביר.",Competitor מוכר לעובד בודד. אנחנו מוכרים למנהל שמעביר לעובד. מי שעוקף היררכיה יוצר תלות במערכת חיצונית. שמירת היררכיה בונה internal capability.,SKU includes leader-enablement licenses|training includes 'how to deliver to your team' modules|no direct end-user contact without leader presence|retention metrics by team-leader activation,self-service|direct to user|bypass IT|consumerized,"Community intervention research (Lahad, ICBCR) שם הראה שהתערבות ישירה ברמת הפרט בחירום מקטינה long-term resilience. הדרכת מנהיגים מקומיים מייצרת capability שנשאר. מתחרה שמוכר self-service יקבל קיתון של מחקר קהילתי."
